-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.016,  0.115
-183.800, 80.199, 0.003,  0.148
-183.800, 80.199, -0.001,  0.181
-183.800, 80.198, -0.002,  0.214
-183.800, 80.197, -0.002,  0.247
-183.800, 80.197, 0.000,  0.280
-183.800, 80.196, 0.004,  0.313
-183.800, 80.195, 0.010,  0.346
-183.800, 80.193, 0.019,  0.379
-183.800, 80.191, 0.082,  0.412
-183.799, 80.187, 0.123,  0.445
-183.798, 80.182, 0.162,  0.478
-183.797, 80.175, 0.225,  0.511
-183.796, 80.167, 0.218,  0.544
-183.795, 80.159, 0.237,  0.577
-183.794, 80.151, 0.226,  0.610
-183.792, 80.141, 0.327,  0.643
-183.791, 80.129, 0.355,  0.676
-183.790, 80.118, 0.331,  0.709
-183.789, 80.107, 0.317,  0.742
-183.788, 80.096, 0.334,  0.775
-183.786, 80.084, 0.374,  0.808
-183.785, 80.071, 0.405,  0.841
-183.784, 80.057, 0.434,  0.874
-183.783, 80.043, 0.427,  0.907
-183.782, 80.028, 0.441,  0.940
-183.781, 80.014, 0.440,  0.973
-183.780, 80.000, 0.451,  1.006
-183.778, 79.985, 0.449,  1.039
-183.777, 79.970, 0.472,  1.072
-183.776, 79.954, 0.497,  1.105
-183.775, 79.937, 0.525,  1.138
-183.774, 79.919, 0.537,  1.171
-183.773, 79.901, 0.548,  1.204
-183.771, 79.882, 0.566,  1.237
-183.770, 79.864, 0.574,  1.270
-183.769, 79.845, 0.578,  1.303
-183.768, 79.826, 0.593,  1.336
-183.766, 79.805, 0.619,  1.369
-183.765, 79.785, 0.636,  1.402
-183.764, 79.763, 0.656,  1.435
-183.762, 79.742, 0.671,  1.468
-183.761, 79.720, 0.675,  1.501
-183.760, 79.698, 0.677,  1.534
-183.758, 79.676, 0.674,  1.567
-183.757, 79.654, 0.665,  1.600
-183.756, 79.632, 0.661,  1.633
-183.754, 79.609, 0.675,  1.666
-183.753, 79.585, 0.743,  1.699
-183.751, 79.559, 0.757,  1.732
